customer_comment,lr_lead_status_name
price address astor ln city bandon ormls bedrooms bathrooms square feet,Cold
im interested in treasure way,Cold
would like to inquire about the property at beckett road seagoville tx property details,Cold
would like to inquire about the property at crawford street middletown oh ive seen the property maybe willing to give thousand for it needs new windows doors one side is messed up over grown weeds trees fence right on side of house property details,Cold
investor cash offers,Cold
this lead is for kelli garner the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to,Cold
leave voice mail if do not answer,Cold
can you please send me link to map of this propertys location thank you,Cold
would like to inquire about the property in crestline ca mls,Cold
gender male marital status married military branch usn military status separate mortgage pre qualified yes property types single family home price range,Cold
thursday april morning if available thanks,Cold
me gustar saber sobre el inmueble en abbott ave miami beach fl,Cold
home city,Cold
would like to inquire about the property at jesse loop crossville tn,Cold
gender female marital status divorced military branch usaf military status retired mortgage pre qualified no property types single family home price range,Cold
im interested in willows sq,Cold
this lead is for alexander primavera the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to no program lender specified,Cold
would like to inquire about the property at riverstone dr opelika al property details,Cold
would like to inquire about the property at deer run drive plattsburgh ny would like to know if owner will entertain an offer of property details,Cold
would like to inquire about the property at bouquet canyon road spc santa clarita ca property details,Cold
this lead is for arenetta fedd white the cartus case number is please contact by phone prequalification was received not first time buyer price range is up to,Cold
notes,Cold
leo zip mile radius bed,Cold
would like to inquire about the property at old county farm road sophia nc property details,Cold
love thismy inquiry is in reference to specific question about listing mls hackberry pl fallbrook ca,Cold
would like moreinformation about lot absaroka view sub livingston mt drove byand took peek at it but was not sure of property lines grew up inlivingston and rode my horse around there when was kid remember theold burned down house and big barn is there spring on the propertyalso,Cold
would like to inquire about the property at gardner lane angels camp ca am also looking into owner finance and rentals,Cold
th ave spirit lake id am interested in th ave spirit lake id you can reach me at,Cold
showing on rockcliffe,Cold
gender male marital status married military branch usa military status active mortgage pre qualified no property types single family home townhouse price range,Cold
notes,Cold
my name is carla am interested in buying your property please contact me via my email addresss rahamra comthanks sincerely carlamy inquiry is in reference to,Cold
no comment,Cold
would like to inquire about the property at alturas ave pittsburg ca property details,Cold
im interested in washington stwould like to see it tomorrow we live in sherman now but will be in paris tomorrow afternoon please call me,Cold
this lead is for timothy lynch the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union needs an agent that can guide answer questions is patient familiar with va loans,Cold
lead source category client warm list clients,Cold
would like to inquire about the property at greenwich st swanton vt property details,Cold
me gustar saber sobre el inmueble en ne th ave miami fl,Cold
hi donna my sister meghan and are working with louis stiehm of dreamtown realty but we would like to see your listing at west aldine would you have any availability tomorrow to show the unit thanks erinn,Cold
no comment,Cold
would like to inquire about the property at ocean dr hollywood fl property details,Cold
is anyone available today,Cold
notes,Cold
would like to inquire about the property at spice bush ln milford pa property details,Cold
this lead is for lieutenant colonel william rynecki the cartus case number is please contact by phone prequalification was not received not first time buyer price range is to,Cold
im interested in highway please call me at your earliest convenience im very interested call anytime my name is roz gross,Cold
notes,Cold
looking lease on thinking rd,Cold
hello am psychologist and interested in the space on henderson that used to be physical therapy office of sorts ive already toured it with an agent at century but didnt particularly care for her and see that you are listed as the agent for the owner so would prefer to work with you directly see its for sale or lease and would like to talk about options thank you dr becca tagg,Cold
would like to inquire about the property at teller street henderson nv property details,Cold
this lead is for luis garcia the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to no program lender specified,Cold
gender female marital status married military branch usa military status separate mortgage pre qualified no property types single family home price range,Cold
hey saw that you had home listed as for rent if the owner would be interested in doing lease purchase on their property would pay you the entire first months rent as commission payment specialize in installing tenant buyers who help qualify to purchase the home in one year with success rate if you think any of your listings would be interested in this would pay you the entire first months rent on any of the homes you could even keep advertising the home as for rent and if you find someone before me then no worries just let me know thanks,Cold
hi janet please check out our fsbo at felker ave we re looking to pay commission to realtor that brings us buyer please email call or text pat at to schedule showings,Cold
notes,Cold
looking for something to rent or rent to own,Cold
notes,Cold
would like more information regarding the property at deer creek dr crossville tn that found on realtor com,Cold
opcity multi in everett,Cold
this lead is for ada morino the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to no program lender specified,Cold
hello jasmine paul is interested on center st,Cold
would like more information regarding the property at center st belleville,Cold
verified,Cold
would like more information regarding the property at meyer rd frankford township,Cold
no comment,Cold
would like to inquire about the property at south th avenue mount vernon ny property details,Cold
have questions regarding the condition of the home and ita proximity to blinn college,Cold
im interested in clydesdale st noticed it has been on the market for while now would they perhaps accept lower leasing amount,Cold
hello my name is james chicoine my girlfriend jeanna and are very interested in this house we dont wont have enough money to do down but we could maybe do down but may not have enough money for closing costs we are first time home buyers though grew up in this house and loved it know my kids will too we really want this place and we are willing to do whatever we have to to make it work we would do rent to own if the owners are willing to agree we would even be ok with just renting cause either way look at it ill be paying to live somewhere why not pay to live where want we look forward to hearing from you weather its good news or bad thank you for your time,Cold
navy fed,Cold
please text me about this lot,Cold
am interested in ave nw cedar rapids ia,Cold
would like to inquire about the property at hawaii ct punta gorda fl could you tell me if this is community is this gated if so what are the hoa fees and annual property taxes property details,Cold
hello jasmin bolen is interested on lowel st carteret his call was transfer this morning but not sure if you talked to him,Cold
please place with susan chambers already working together thanks special features comments property details sq ft sq ft best time to call after pm price range specifics single level fenced in yard for pets fireplace if possible avoid safe neighborhood prequalified amount new home type single family new home sqft sq ft new home garage size new home lot size acres new home garage type no preference new home special needs initial call template discussion points personal single level fenced in yard for pets fireplace if possible rock hill and surrounding area avoid safe low crime neighborhood spoke with ms dena queen hes mortgage discussion mtg program down etc misc mtg notes mortgage status unknown mortgage discussion selling home in nc first did you ask for ssa if it is nfcu file yes no no best contact method time cell time after agent qualities prior contact no comments placed other side yes doing both comments bonus discussed cash bonus available in nc sc corporate relocation benefits no comments other services offered home express budget easy tour please complete all fields please put in comment field in hem to be sent to the broker,Cold
would like more information regarding the property at th st lot philadelphia,Cold
notes,Cold
ron viewed open house at urban village looking for downtown st pete living budget,Cold
notes,Cold
would like more information regarding the property at ocean blvd apt pompano beach,Cold
would like to inquire about the property at nw th wy coral springs fl property details,Cold
this lead is for kevin paulovici the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to no program lender specified,Cold
notes,Cold
would like more information regarding the property at nd ave north myrtle beach we are residents of surfside beach sc and are looking to move to cherry grove we will be in cherry grove at am today to view another property in the area and would like to see your listing as well would noon be possible appointment time or sometime thereafter if you have conflict then so that get your response without it being lost in the flood of emails get would you text me back mu,Cold
notes,Cold
have been working with sara phelps great realtor but not licensed in every and dona want to miss out on the oportunity,Cold
this lead is for maxwell brady the cartus case number is please contact by phone prequalification was received first time buyer price range is up to program lender is navy federal credit union,Cold
this lead is for andrew edwards the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
would like to inquire about the property at waynoka drive franklin twp oh property details,Cold
gender male marital status married military branch usa military status active mortgage pre qualified no first time home buyer no property types single family home new construction price range,Cold
eu gostaria de saber sobre propriedade em sw th street to view translation of that lead go here,Cold
notes,Cold
caller wanted more info on prop called available agent accepted,Cold
would this owner be interested in short term rental for june through august thank you,Cold
would like to inquire about the property at driftwood drive commerce twp mi property details,Cold
would like to inquire about the property at pilgrim mill road cumming ga do you have pictures of the home property details,Cold
im in need of your professional service please reply as soon as possible,Cold
rich lan rd sharpsburg ky you can reach me at,Cold
notes,Cold
would like to inquire about the property at hickory road jackson ga property details,Cold
would like to inquire about the property at poglese rd hessel mi property details,Cold
am interested in sherry ln deridder la interested in viewing the property this weekend as potential renter,Cold
hi my name is cheyene and me and my growing family are looking to transition from an apartment into forever home we would love to take tour of this beautiful house,Cold
want to see this home asap,Cold
optional,Cold
this lead is for anyssa hernandez the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to no program lender specified,Cold
would like to know more about this property am interested,Cold
im interested in wolcott ave,Cold
no comment,Cold
name mark freimuth phone email mfreimuth com address or area paradise valley hts mesquite nevada mesquite client type buyer price range time frame lead source arti converted by isa casey best time to reach tomorrow afternoon additional comments mark is planning to relocate from florida he is making trip to mesquite in april and wants to view properties when he arrives he wants to see the specs on the home he is open to similar listings in the area that match in build and price paradise valley hts mesquite nv beds baths sqft pending call thursday feruary st at pm est,Cold
would like to inquire about the property at badger ave newark city nj property details,Cold
hi discovered this listing on doorsteps and would love to learn more about it could you please send over any additional information you might have thanks,Cold
this lead is for david orozco the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
how much more land is available,Cold
would like to inquire about the property at on swamp rd tomahawk wi property details,Cold
inquire on pueblo already rented,Cold
would like to inquire about the property at tee street mayo sc property details,Cold
notes,Cold
would like to inquire about the property at river rd new portland me property details,Cold
this lead is for thomas broadhead the cartus case number is please contact by phone prequalification was received not first time buyer price range is to plese call cell,Cold
im interested in highway would the seller be open to doing year lease on this property my husband is retired military we are looking for place to rent that has acreage while he finishes college,Cold
would like to inquire about the property at plumcrest drive charlotte nc property details,Cold
would like to inquire about the property at clifton blvd mansfield oh property details,Cold
hi am looking for single family house would like to see the inside please if it is possible am interested the house address is nd ave north begen nj,Cold
would like to inquire about the property at environ blvd lauderhill fl property details,Cold
leadrouter leads,Cold
notes,Cold
no comment,Cold
im interested in main st is this two family taxes cant be how much work is needed pls email me no phone calls,Cold
what is the lot size and estimated taxes,Cold
would like to see the property at loop dr in hanover requested date time for showing specify here,Cold
leadrouter leads,Cold
realtor com caryl ave mls,Cold
homes com tuckahoe road yonkers ny,Cold
looking for home in summerlin area maybe new build,Cold
no comment,Cold
would like to inquire about the property at eva st piscataway nj,Cold
notes,Cold
called while was on floor works at keyside tech looking to rent in in mid april for one year then buy lives in india called by paul carson paul carson com,Cold
just checking,Cold
this lead is for elizabeth suarez the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to no program lender specified,Cold
this lead is for tyrone ormond the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to no program lender specified,Cold
this lead is for wendy roy the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to no program lender specified,Cold
would like to see this house please,Cold
this lead is for violette melikayan the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to no program lender specified,Cold
this lead is for sergeant first class stanley hampton the cartus case number is please contact by phone prequalification was received not first time buyer price range is to,Cold
ia an agent in california and have seller looking to by in ft lauderdale spanish speaking preferred please have someone on the office contact me by email property details,Cold
if possible could take tour pm wed the th,Cold
this lead is for christopher anske the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to program lender is navy federal credit union,Cold
would like to inquire about the property at mountain view park lakeside az property details,Cold
would like to inquire about the property at golden avenue cincinnati oh thank you property details,Cold
am interested in receiving more information about mls id located at shanty creek road bellaire mi,Cold
lead source realtor,Cold
notes,Cold
company,Cold
am interested in golden pond dr which found using the realtor com app,Cold
would like to inquire about the property at boca west drive boca raton fl property details,Cold
husband is looking for hunting land to acres if adjoins state or federal land more if not would like electric and water if possible cabin or pole barn looking for cheap but the right place lol called on gaukel road cabin for talked with wife very nice lady they are just begining to look he wants hunting land because dad past and mom is selling the farm,Cold
would like to inquire about the property at springmeadow drive spring hill fl property details,Cold
am interested in this property please give me call thank you,Cold
im interested in silver beach rd,Cold
want more information,Cold
th st,Cold
im interested in prairie fire ln,Cold
land in new deal,Cold
this lead is for master sergeant ash mcdowell the cartus case number is please contact by phone prequalification was not received not first time buyer,Cold
am very interested in the property at king street want to do something smart with my money and this is the right place for me know ita not much to look at now but know can make this my home and legacy,Cold
quail hollow dr san jose ca how much is the spaceyou can reach me at,Cold
im interested in mcguigan cir,Cold
,Cold
notes,Cold
would like to inquire about the property at beech mountain pkwy beech mountain nc property details,Cold
would like to inquire about the property at dixie downs rd st george ut property details,Cold
id like more information about the listing that found at homes com at mountain pines,Cold
interested in seeing the house,Cold
mm hwy witch wells az you can reach me at,Cold
im interested in john ave,Cold
would this house be available for rent for next school year,Cold
no comment,Cold
im interested in jefferson st apt,Cold
notes,Cold
is this home still available is it able to be toured was not sure if it safe to checkout on the inside appreciate your time please email me back thank you,Cold
lead source name shelly marvin address sunhaven dr city zip fairfield ca category congregation home phone,Cold
gender male marital status single mortgage pre qualified no property types single family home price range,Cold
marcella sorry about the price range of this referral am working on getting the referral fee lowered this will not count as referral to you and will not take you out of the rotation this referral is part of cartus pilot program called real estate services customers may be eligible for cash bonus based on sale price refer to affinity cash bonus schedule in cartusnetworks com no lender attached please use your preferred lender special features comments property details sq ft sq ft asked permission yes price range specifics williams rd defunkiak springs fl open to others looking to pay cash new home lot size acres new home garage type no preference new home special needs looking for land to put mobile home on needs utilities on the property discussion points williams rd defunkiak springs fl open to others looking to pay cash,Cold
talked with brian and he said they will be renting for about year so will keep in touch and talk with him around february next year,Cold
would nd ave se perham mn qualify for rural development loanproperty details,Cold
would like more information regarding the property at nw county road mount vernon,Cold
call referring agent before the client paul bowers client is looking for single family home in the ocala area price range is up to ra has all other information era davis and linn file,Cold
cedar city ut does this property offer rent to own you can reach me at,Cold
beth and casey are looking for home in dsm area possible west dsm or norwalk indianola want great place to raise their two girls beth is pregnant and is due in june hoping to stay in the range interested in the legacy development in norwalk,Cold
would like more information regarding the property at phillips ave in browns mills,Cold
notes,Cold
notes,Cold
no comment,Cold
business phone,Cold
this lead is for mackenzie sifferlin the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
would like to inquire about the property at cr atlanta tx property details,Cold
would like more information regarding the property at copiague st in valley stream,Cold
would like to inquire about the property at longview dr johnston ia property details,Cold
im interested in cedgap rd,Cold
am interested in sw th st apt which found using the realtor com app,Cold
good day agent im cmsgt john peters have house want to sell in your neighborhood and will like to know if you can handle the sales for me would like to get more information about you and your services kindly send me an email right away to so can send you more details about the property and set an appointment for meeting,Cold
at pm,Cold
would like more information regarding the property at north st in wheeler,Cold
would like to inquire about the property at hodges avenue las vegas nv and see pictures property details,Cold
id like to see the house were highly interested,Cold
would like to inquire about the property at timberbridge drive valparaiso in and you are not accepting my email as valid so you need to fix you system property details,Cold
would like to inquire about the property at dove creek ln west jordan ut property details,Cold
im interested in telegraph rd hi there my husband and are very interested in your property we are looking to move late april but can be flexible when is the unit available and are pets permitted we have one dog and one cat both very well behaved thanks very much,Cold
would like more information regarding the property at star dr stillwater ok that found on realtor com,Cold
would like to inquire about the property at gonzalez st pensacola fl property details,Cold
me gustar saber sobre el inmueble en pinafore drive charlotte nc,Cold
this lead is for gary gallahan the cartus case number is please contact by phone prequalification was received not first time buyer price range is up to,Cold
would like more information regarding the property at brookwood dr brooklyn oh that found on realtor com,Cold
notes,Cold
notes,Cold
would like to inquire about the property at florence avenue huntington park ca,Cold
appointment informationdate thu jan time afternoonmessage,Cold
would like more information regarding the property at bermuda pl corpus christi tx that found on realtor com,Cold
would like to inquire about the property at litchfield st bay city mi property details,Cold
notes,Cold
hello,Cold
no comment,Cold
id like more information about the listing at pheasant mls,Cold
would like to see property,Cold
gender male marital status married military branch usa military status separate mortgage pre qualified no first time home buyer no property types single family home price range,Cold
notes,Cold
me gustaria consultar sobre la propiedad situada en narvaez to view translation of that lead go here,Cold
would like to inquire about the property at meadow drive lancaster sc property details,Cold
oh sandinista rd marlboro sf really not looking to move just wanted to see what out there,Cold
mls how much are the lot fees per month and does the hoa fees exceed go up in price,Cold
will the seller carry contract for this property,Cold
lead source,Cold
wh cd url url url viagra on line url url mg url url generic url url generic url url viagra professional mg url url mg url url,Cold
would like to inquire about the property at nuckols rd seale al property details,Cold
gwinnett co,Cold
taylor,Cold
this lead is for terrance pittman the cartus case number is please contact by phone prequalification was not received first time buyer price range is to program lender is navy federal credit union,Cold
would like to inquire about the property at grand st elizabeth city nj property details,Cold
would like to inquire about the property at hull road rainbow lake ny property details,Cold
notes,Cold
would like to inquire about the property at hilltop rd levittown ny property details,Cold
very interested no phone calls please not yet,Cold
would like to inquire about the property at pasadena villa tract highland park ca property details,Cold
notes,Cold
tammy can you tell me why the listing is listed as instead of terrell street please call me at am one of james mapp daughter and was just wondering how the sale of the house is going and if putting is not noticeable on the street when the house is labeled thank you and have great day,Cold
door knocking in chula vista,Cold
would like to inquire about the property at tbd twin buttes rd mentmore nm property details,Cold
would like to inquire about the property at vine st gastonia nc,Cold
good morning edna can please set up time to see the home located at king point circle owego my only current availability to be able to come with my boyfriend but no kiddos would be tuesday nights between and pm please let me know if that is possible thank you so much,Cold
am available to tour tomorrow afternoon,Cold
notes,Cold
verified,Cold
cgl miami bch,Cold
details would like to schedule an appointment to see the property mls,Cold
would like to inquire about the property at murray ut property details,Cold
im interested in hilda dr im interested in the property line for this land,Cold
would like more information regarding the property at bean hill rd unit in northfield,Cold
please contact me about mls located at hackleman st roxton tx do you have more pictures of this residence,Cold
hi there very interested in this property please let me know if can see it,Cold
this lead is for captain lanea dertinger the cartus case number is please contact by phone prequalification was not received not first time buyer,Cold
opcity allison glover is looking to buy an investment property within the next months she is available to see properties the weekend she would like to stay within,Cold
hello can you please tell me the status of this property the status on various websites has changed few times from being under contract to currently for sale to not for sale just want to decide if this property should remain on our list of candidates thanks,Cold
this lead is for thomas hackney the cartus case number is please contact by phone prequalification was not received not first time buyer price range is up to no program lender specified,Cold
no comment,Cold
notes,Cold
would like to inquire about the property at glenwood drive dunedin fl property details,Cold
ihouse website lead agent next on list email to follow,Cold
hi am interested in becoming salesperson pls let me know the cost of the courses thru your office thanks carm century real estate llc all rights reserved century real estate llc fully supports the principles of the fair housing act and the equal opportunity act each office is independently owned and operated century and the century logo are registered service marks owned by century real estate llc nothing in this document is intended to create an employment relationship with this company or century real estate llc,Cold
im interested in th st,Cold
plybnim,Cold
notes,Cold
would like to view this property,Cold
would like more information regarding the property at th st des moines,Cold
do you have property owner that may be interested in long term year at least rental single mature woman no cats or dogs non smoker great references looking for two bedroom with washer and dryer hook ups,Cold
would like more information regarding the property at th st plainfield,Cold
wants to speak with the listing agent about the listing at summit point dr front royal va she saw it as rental on zillow and may only be interested if it is rental and not for sale,Cold
hable con rosalinda el su hijo sebastian va st anthony santiago catalina st lukes su trabajo termina en marzo quiza este interesada en entrar en real estate,Cold
customer first name jillcustomer last name gravescustomer email address jilljgraves comcustomer phone number best way to contact the customer bothadditional comments would like to inquire about the property at stonington drive wilmington nc,Cold
notes,Cold
would like to inquire about the property at lt barlow fields lot hayesville nc hello what are the building requirements for this lot is there water sewer available thanks jim,Cold
would like more information regarding the property at elizabeth ave in new bern,Cold
would like to inquire about the property at ann ave fresno ca,Cold
would like to inquire about the property at milton ave baltimore md,Cold
am interested in stillwater payne county ok land for sale for,Cold
,Cold
im interested in wallace rd lot,Cold
im interested in clare cir,Cold
notes,Cold
would like to inquire about the property at bobby blvd frankfort ky does this house belong to hoa,Cold
this lead is for robert thornton the cartus case number is please contact by phone prequalification was received first time buyer price range is up to program lender is navy federal credit union,Cold
was wanting some more info about this house,Cold
showed her golfair saturday she is going to speak to her credit union,Cold
hello how are you today am interested in your property listing can you kindly send me more info about the property best regards,Cold
would like to see asap please call me,Cold
would like to inquire about the property at hazel st brookings or property details,Cold
notes,Cold
sunday february at pm,Cold
hi this was my uncles place before he died and would like to purchase this property to keep it in our family am in the military and moved away from the local area property details,Cold
am from louisiana will be in alvin this saturday only this saturday can you show me this house,Cold
this lead is for george durant the cartus case number is please contact by phone prequalification was not received first time buyer price range is up to program lender is navy federal credit union,Cold
sw th st unit miramar fl,Cold
homelight,Cold
very low budget,Cold
